"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U92,U91,U90,U3,U63,U8,U58,U47,U31,U42,U57,U36,U53,U65,U76,U34,U78,U25,U39,U82,U56,U37,U62,U59,U27,U21,U20,U55,U73,U74,U6,U68,U23,U83,U29,U43,U80,U33,U86,U14,U35,U22,U45,U88,U12,U44,U70,U41,U64,U48,U46,U15,U26,U24,U13,U11,U9,U54,U87,U28,U69,U32,U85,U81,U51,U61,U71,U40,U66,U79,U5,U67,U10,U60,U38,U30,U49,U75,U89,U52,U19,U77,U84,U7,U72,U4,U50";"SOT-23";87;"Hall_Sensor";;;
2;"AM0:87";"HESwitch_1u_SMD";1;"PAUSE";;;
3;"AM0:86";"HESwitch_1u_SMD";1;"SCRLK";;;
4;"AM0:85";"HESwitch_1u_SMD";1;"PRTSCR";;;
5;"AM0:29";"HESwitch_1u_SMD";1;"Q";;;
6;"R4";"R_0402_1005Metric";1;"220";;;
7;"AM0:52";"HESwitch_1u_SMD";1;";";;;
8;"AM0:39";"HESwitch_1u_SMD";1;"[";;;
9;"AM0:62";"HESwitch_1u_SMD";1;",";;;
10;"AM0:80";"HESwitch_1u_SMD";1;"PGDN";;;
11;"AM0:81";"HESwitch_1u_SMD";1;"LEFTARROW";;;
12;"AM0:34";"HESwitch_1u_SMD";1;"Y";;;
13;"C4,C8,C5,C2,C3,C9,C6";"C_0402_1005Metric";7;"1 μF";;;
14;"AM0:18";"HESwitch_1u_SMD";1;"4";;;
15;"AM0:35";"HESwitch_1u_SMD";1;"U";;;
16;"AM0:64";"HESwitch_1u_SMD";1;"/";;;
17;"AM0:70";"HESwitch_1.25u_SMD";1;"RIGHT ALT";;;
18;"AM0:15";"HESwitch_1u_SMD";1;"1";;;
19;"R1,R2";"R_0402_1005Metric";2;"5,1kΩ";;;
20;"AM0:73";"HESwitch_1.25u_SMD";1;"RIGHT CTRL";;;
21;"AM0:56";"HESwitch_1u_SMD";1;"X";;;
22;"AM0:50";"HESwitch_1u_SMD";1;"K";;;
23;"AM0:84";"HESwitch_1u_SMD";1;"UPARROW";;;
24;"AM0:5";"HESwitch_1u_SMD";1;"F4";;;
25;"AM0:37";"HESwitch_1u_SMD";1;"O";;;
26;"AM0:16";"HESwitch_1u_SMD";1;"2";;;
27;"AM0:31";"HESwitch_1u_SMD";1;"E";;;
28;"AM0:79";"HESwitch_1u_SMD";1;"PGUP";;;
29;"AM0:14";"HESwitch_1u_SMD";1;"TILDE";;;
30;"AM0,AM2,AM5,AM4,AM1,AM3";"SSOP-24_5.3x8.2mm_P0.65mm";6;"CD74HC4067SM";;;
31;"AM0:7";"HESwitch_1u_SMD";1;"F6";;;
32;"AM0:17";"HESwitch_1u_SMD";1;"3";;;
33;"AM0:42";"HESwitch_1.75u_SMD";1;"CAPS";;;
34;"AM0:32";"HESwitch_1u_SMD";1;"R";;;
35;"AM0:67";"HESwitch_1.25u_SMD";1;"WINKEY";;;
36;"AM0:4";"HESwitch_1u_SMD";1;"F3";;;
37;"AM0:59";"HESwitch_1u_SMD";1;"B";;;
38;"C7";"C_0402_1005Metric";1;"10 μF";;;
39;"AM0:57";"HESwitch_1u_SMD";1;"C";;;
40;"AM0:61";"HESwitch_1u_SMD";1;"M";;;
41;"AM0:21";"HESwitch_1u_SMD";1;"7";;;
42;"AM0:6";"HESwitch_1u_SMD";1;"F5";;;
43;"AM0:48";"HESwitch_1u_SMD";1;"H";;;
44;"AM0:28";"HESwitch_1.5u_SMD";1;"TAB";;;
45;"AM0:55";"HESwitch_1u_SMD";1;"Z";;;
46;"AM0:26";"HESwitch_1u_SMD";1;"=";;;
47;"AM0:65";"HESwitch_2.75u_SMD";1;"RIGHT SHIFT";;;
48;"AM0:27";"HESwitch_2u_SMD";1;"BACKSPACE";;;
49;"AM0:33";"HESwitch_1u_SMD";1;"T";;;
50;"AM0:41";"HESwitch_1.5u_SMD";1;"\";;;
51;"AM0:76";"HESwitch_1u_SMD";1;"DEL";;;
52;"AM0:38";"HESwitch_1u_SMD";1;"P";;;
53;"AM0:44";"HESwitch_1u_SMD";1;"S";;;
54;"AM0:71";"HESwitch_1.25u_SMD";1;"RIGHT FN";;;
55;"AM0:46";"HESwitch_1u_SMD";1;"F";;;
56;"AM0:12";"HESwitch_1u_SMD";1;"F11";;;
57;"AM0:10";"HESwitch_1u_SMD";1;"F9";;;
58;"AM0:22";"HESwitch_1u_SMD";1;"8";;;
59;"AM0:24";"HESwitch_1u_SMD";1;"0";;;
60;"AM0:40";"HESwitch_1u_SMD";1;"]";;;
61;"AM0:53";"HESwitch_1u_SMD";1;"'";;;
62;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
63;"AM0:83";"HESwitch_1u_SMD";1;"RIGHTARROW";;;
64;"AM0:72";"HESwitch_1.25u_SMD";1;"RIGHT SUPER";;;
65;"AM0:3";"HESwitch_1u_SMD";1;"F2";;;
66;"AM0:25";"HESwitch_1u_SMD";1;"-";;;
67;"AM0:23";"HESwitch_1u_SMD";1;"9";;;
68;"AM0:43";"HESwitch_1u_SMD";1;"A";;;
69;"AM0:63";"HESwitch_1u_SMD";1;".";;;
70;"AM0:30";"HESwitch_1u_SMD";1;"W";;;
71;"D1";"LED_0402_1005Metric";1;"LED";;;
72;"AM0:47";"HESwitch_1u_SMD";1;"G";;;
73;"AM0:60";"HESwitch_1u_SMD";1;"N";;;
74;"AM0:69";"HESwitch_6.25u_SMD";1;"SPACE";;;
75;"AM0:2";"HESwitch_1u_SMD";1;"F1";;;
76;"AM0:9";"HESwitch_1u_SMD";1;"F8";;;
77;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C";;;
78;"AM0:66";"HESwitch_1.25u_SMD";1;"LEFT CTRL";;;
79;"U16";"SOT-23-6";1;"USBLC6-2SC6";;;
80;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
81;"AM0:58";"HESwitch_1u_SMD";1;"V";;;
82;"AM0:54";"HESwitch_2.25u_SMD";1;"LEFT SHIFT";;;
83;"AM0:36";"HESwitch_1u_SMD";1;"I";;;
84;"AM0:51";"HESwitch_1u_SMD";1;"L";;;
85;"AM0:74";"HESwitch_2.25u_SMD";1;"ENTER";;;
86;"AM0:13";"HESwitch_1u_SMD";1;"F12";;;
87;"AM0:11";"HESwitch_1u_SMD";1;"F10";;;
88;"AM0:78";"HESwitch_1u_SMD";1;"END";;;
89;"AM0:45";"HESwitch_1u_SMD";1;"D";;;
90;"AM0:68";"HESwitch_1.25u_SMD";1;"LEFT ALT";;;
91;"AM0:20";"HESwitch_1u_SMD";1;"6";;;
92;"AM0:49";"HESwitch_1u_SMD";1;"J";;;
93;"AM0:8";"HESwitch_1u_SMD";1;"F7";;;
94;"AM0:19";"HESwitch_1u_SMD";1;"5";;;
95;"AM0:77";"HESwitch_1u_SMD";1;"HOME";;;
96;"U17";"SOT-23-3";1;"XC6206P";;;
97;"AM0:82";"HESwitch_1u_SMD";1;"DOWNARROW";;;
98;"BOOT1";"SW_SPST_TL3342";1;"SW_Push";;;
99;"AM0:75";"HESwitch_1u_SMD";1;"INS";;;
100;"R3";"R_0402_1005Metric";1;"10kΩ";;;
101;"AM0:1";"HESwitch_1u_SMD";1;"ESC";;;
